,Depth,WOB,SURF_RPM,ROP_AVG,PHIF,VSH,SW,KLOGH
102,3835.0,35711.047,2.0010445,0.0086989407,0.2793455819261147,1.0000000000000002,0.3997627064277399,0.001
103,3840.0,55441.037,1.9996143,0.0079872818999999,0.2152172971999572,0.999987396673756,0.5348148916198141,0.001
104,3845.0,69828.84,1.9999326,0.008011421,0.2702946671857396,1.0,0.356510544642944,0.001
105,3850.0,60725.977,1.9978049,0.0080026419999999,0.2649570079045599,0.9999999999999996,0.3513934737837268,0.0009999999999999
106,3855.0,36845.539,1.9986469,0.0087198189,0.2215828897527747,1.0,0.5292839640045361,0.0009999999999999
107,3860.0,29158.288,1.9991948,0.0087274414,0.1810048891011203,1.0,0.6040010532202214,0.0009999999999999
108,3865.0,44807.529,1.9993007,0.0086974042,0.1512967636481437,1.0000000000000002,0.8173377847426682,0.001
109,3870.0,58069.453,1.9995504,0.0087151132,0.147881452968673,1.0,0.794250437915734,0.0009999999999999
110,3875.0,42989.00900000001,1.9997094,0.0087252201,0.0062698347989745,1.0000000000880875,1.0133348668077913,0.0009999999999999
111,3880.0,63292.935,1.9996722,0.0080000798,0.0560557252750033,0.7826421288893445,1.0000000000000049,0.001
112,3885.0,64154.213,1.9991367,0.0080109563,0.0895734383678004,0.7595873550966526,0.9999999999999998,0.0009999999999999
113,3890.0,56690.941,1.9991023,0.0079995899,0.0612725199872135,0.6912038606547362,1.000000000000002,0.0009999999999999
114,3895.0,38115.807,2.0017080000000003,0.010447495,0.106132880234744,0.7368692964364838,0.9999993615652084,0.001
115,3900.0,31893.992,1.998052,0.008718065,0.1193498734379227,0.6486395238395302,1.0000000004202918,0.001
116,3905.0,28826.265,2.0001599,0.0087314848,0.1162322206727962,0.6361084029165974,1.0001664415189693,0.001
117,3910.0,26972.945,1.9995598,0.0088142798,0.0872869658941042,0.9299369872633984,0.9999999999999998,0.0009999999999999
118,3915.0,21042.733,1.998887,0.0087127186,0.0624753355862679,0.7583383685354553,1.0000000000000002,0.001
119,3920.0,37453.208,1.9998759,0.0080076752,0.037360369223138,0.9194118621351248,1.0,0.0009999999999999
120,3925.0,45694.986,1.9990125,0.0079977796,0.0544323946664371,0.761076825759287,1.0,0.001
121,3940.0,34610.165,1.9965428,0.0087176513,0.0884672701445309,0.3826980209370516,1.0,0.001
122,3945.0,51089.58,2.033445,0.0086257842,0.0258757402332471,0.2559360055998867,1.0,0.001
123,3950.0,58211.326,2.0022102,0.0073116208,0.0592742813760276,0.3455542295986441,1.0,0.001
124,3955.0,86371.09800000001,1.921884,0.0096097281999999,0.1905906699350352,0.1669174162613387,1.0000002999339626,96.62707762414612
125,3960.0,32453.181,1.6848092,0.0026663490999999,0.2208879293992938,0.2555040851683117,0.9678949141561248,29.31497955979947
126,3965.0,32720.292,1.9998848,0.008005734,0.2223427258342737,0.2626881371815837,1.0026926439230923,25.99909272262698
127,3970.0,29672.6,1.9984927,0.0080172276,0.2302551794881364,0.1837998797875772,0.9977321355760458,154.28511265543548
